global_spine_id,animal_id,fov,timepoint,local_spine_id,x,y,z,dendrite_id,source_csv
S_00001,DEMO10,1,pre-droplet,1,192.0,275.0,4.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00002,DEMO10,1,pre-droplet,2,264.0,370.0,7.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00003,DEMO10,1,pre-droplet,3,336.0,465.0,10.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00004,DEMO10,1,pre-droplet,4,408.0,560.0,1.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00005,DEMO10,1,pre-droplet,5,480.0,180.0,4.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00006,DEMO10,1,pre-droplet,6,552.0,275.0,7.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00007,DEMO10,1,pre-droplet,7,624.0,370.0,10.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00008,DEMO10,1,pre-droplet,8,696.0,465.0,1.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00009,DEMO10,1,pre-droplet,9,768.0,560.0,4.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00010,DEMO10,1,pre-droplet,10,840.0,180.0,7.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\pre-droplet\Tables\fov1_detected_spines_demo.csv
S_00011,DEMO10,1,end-droplet,1,192.0,275.0,4.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00012,DEMO10,1,end-droplet,2,264.0,370.0,7.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00013,DEMO10,1,end-droplet,3,336.0,465.0,10.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00014,DEMO10,1,end-droplet,4,408.0,560.0,1.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00015,DEMO10,1,end-droplet,5,480.0,180.0,4.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00016,DEMO10,1,end-droplet,6,552.0,275.0,7.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00017,DEMO10,1,end-droplet,7,624.0,370.0,10.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00018,DEMO10,1,end-droplet,8,696.0,465.0,1.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00019,DEMO10,1,end-droplet,9,768.0,560.0,4.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00020,DEMO10,1,end-droplet,10,840.0,180.0,7.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-droplet\Tables\fov1_detected_spines_demo.csv
S_00021,DEMO10,1,end-lever,1,192.0,275.0,4.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00022,DEMO10,1,end-lever,2,264.0,370.0,7.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00023,DEMO10,1,end-lever,3,336.0,465.0,10.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00024,DEMO10,1,end-lever,4,408.0,560.0,1.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00025,DEMO10,1,end-lever,5,480.0,180.0,4.0,1,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00026,DEMO10,1,end-lever,6,552.0,275.0,7.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00027,DEMO10,1,end-lever,7,624.0,370.0,10.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00028,DEMO10,1,end-lever,8,696.0,465.0,1.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00029,DEMO10,1,end-lever,9,768.0,560.0,4.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
S_00030,DEMO10,1,end-lever,10,840.0,180.0,7.0,2,D:\spine_match_overtime\results\demo_spine_logic_lab\respan\end-lever\Tables\fov1_detected_spines_demo.csv
